Feature,Score
rating_Approved,0.12668044617761987
rating_G,24.000109173081942
rating_NC-17,2.6126895019751677
rating_Not Rated,8.465264363458754
rating_PG,37.22354859659432
rating_PG-13,194.40224992737063
rating_R,337.9594435929721
rating_TV-MA,3.4756251414059953
rating_Unrated,4.948729936632061
rating_X,0.21103909394823575
genre_Action,239.21062312037745
genre_Adventure,8.963475934127882
genre_Animation,276.65790880438277
genre_Biography,16.50585695597188
genre_Comedy,116.78619530073767
genre_Crime,34.77934655441966
genre_Drama,54.2738243280529
genre_Family,19.75277762113494
genre_Fantasy,4.729311204319567
genre_Horror,16.205588478422257
genre_Mystery,0.10442566338006472
genre_Romance,0.6920754531340444
genre_Sci-Fi,0.7372070718946652
genre_Thriller,0.7370911097810621
genre_Western,0.4955063397756965
director_Aaron Blaise,0.6174317233410143
director_Aaron Norris,0.27453015837240335
director_Aaron Seltzer,0.008710160526469533
director_Aaron Sorkin,0.055048792375989745
director_Abby Kohn,0.0021526542339229907
director_Abe Sylvia,0.30292624500479565
director_Abel Ferrara,1.4763776664596608
director_Adam Brooks,0.30321128140143294
director_Adam Green,0.6055410393754875
director_Adam McKay,0.18529554200769122
director_Adam Resnick,0.282596654690007
director_Adam Rifkin,0.27945675690498095
director_Adam Robitel,0.1956031805223184
director_Adam Shankman,0.20583735965239222
director_Adam Simon,0.5879388499042753
director_Adam Wingard,0.5246067811046352
director_Adil El Arbi,2.9805503459484344
director_Adrian Grunberg,0.003928226959995476
director_Adrian Lyne,0.04945005748044981
director_Adrienne Shelly,0.18697357027378025
director_Agnieszka Holland,0.4362790480926131
director_Agnieszka Wojtowicz-Vosloo,0.2896620465035636
director_Akira Kurosawa,0.5664092122559704
director_Akiva Goldsman,0.14953878828152353
director_Akiva Schaffer,0.2354313283981978
director_Alan Cohn,0.22157416819223827
director_Alan J. Pakula,1.094940461500327e-06
director_Alan Johnson,0.5247190961515998
director_Alan Metter,0.18877284271872585
director_Alan Myerson,0.1687912697172088
director_Alan Parker,1.8120723626553026
director_Alan Poul,0.018904144945240335
director_Alan Rudolph,1.3588470019700463
director_Alan Shapiro,0.425531964849584
director_Alan Taylor,11.034467576996738
director_Albert Hughes,0.10277910621885435
director_Albert Magnoli,0.030978469054238685
director_Albert Pyun,0.24688091933306255
director_Alejandro Agresti,0.003835856789072814
director_Alejandro Amenábar,0.026290010159612444
director_Alejandro G. Iñárritu,0.646783267819857
director_Aleksander Bach,0.012429592711236632
director_Alessandro Carloni,4.983579111245969
director_Alex Cox,0.8930601312574016
director_Alex Garland,0.22818737109992004
director_Alex Kendrick,0.3870344647991428
director_Alex Kurtzman,0.6610419062456921
director_Alex Proyas,0.3543653061396187
director_Alexander Payne,0.21932965739555793
director_Alexander Witt,0.019437068830397468
director_Alexandre Aja,0.057862264482788445
director_Alfonso Arau,0.2586799620246839
director_Alfonso Cuarón,7.431159567383294
director_Alfonso Gomez-Rejon,0.2527074090769595
director_Alison Maclean,0.2961549830217733
director_Alister Grierson,0.0008249374412188752
director_Allan A. Goldstein,0.2938330909321417
director_Allan Arkush,0.8222010096159394
director_Allan Moyle,0.28225925851609784
director_Allen Coulter,0.25454476737618636
director_Allen Hughes,0.1337235829772494
director_Allison Anders,0.2998962178418254
director_Amma Asante,0.4385495452510867
director_Amy Heckerling,0.13870925336636447
director_Amy Holden Jones,0.521828921436089
director_Ana Lily Amirpour,0.3025830683537239
director_Anand Tucker,0.1418511746005066
