title,production_cost,domestic_gross,worldwide_gross,opening_weekend,genre,Movie_Title,Director,Actors,Total_Gross,main_genre
Avengers: Endgame,400000000,858373000,2797800564,357115007.0,Action,Avengers: Endgame,"Directors:Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",$858.37M,Action
Pirates of the Caribbean: On Stranger Tides,379000000,241071802,1045713802,90151958.0,Adventure,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush",$241.06M,Action
Avengers: Age of Ultron,365000000,459005868,1395316979,191271109.0,Action,Avengers: Age of Ultron,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",$459.01M,Action
Avengers: Infinity War,300000000,678815482,2048359754,257698183.0,Action,Avengers: Infinity War,"Directors:Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",$678.82M,Action
Justice League,300000000,229024295,655945209,93842239.0,Action,Justice League,Zack Snyder,"Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller",$229.02M,Action
Spectre,300000000,200074175,879500760,70403148.0,Action,Spectre,Sam Mendes,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",$200.07M,Action
Solo: A Star Wars Story,275000000,213767512,393151347,84420489.0,Adventure,Solo: A Star Wars Story,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover",$213.77M,Action
John Carter,263700000,73058679,282778100,30180188.0,Adventure,John Carter,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Willem Dafoe, Samantha Morton",$73.08M,Action
Batman v Superman: Dawn of Justice,263000000,330360194,872395091,166007347.0,Action,Batman v Superman: Dawn of Justice,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",$330.36M,Action
The Lion King,260000000,543638043,1647778651,191770759.0,Adventure,The Lion King,"Directors:Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg",$422.78M,Animation
The Lion King,260000000,543638043,1647778651,191770759.0,Adventure,The Lion King,Jon Favreau,"Donald Glover, Beyoncé, Seth Rogen, Chiwetel Ejiofor",$543.64M,Animation
Tangled,260000000,200821936,583777242,48767052.0,Musical,Tangled,"Directors:Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",$200.82M,Animation
Spider-Man 3,258000000,336530303,894860230,151116516.0,Adventure,Spider-Man 3,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church",$336.53M,Action
Captain America: Civil War,250000000,408084349,1151918521,179139142.0,Action,Captain America: Civil War,"Directors:Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",$408.08M,Action
Thor: Love and Thunder,250000000,343256830,745453552,144165107.0,Action,Thor: Love and Thunder,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson",Gross Unkown,Action
Harry Potter and the Half-Blood Prince,250000000,302089278,929411069,77835727.0,Adventure,Harry Potter and the Half-Blood Prince,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",$301.96M,Action
The Fate of the Furious,250000000,225764765,1236703796,98786705.0,Action,The Fate of the Furious,F. Gary Gray,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez",$226.01M,Action
No Time to Die,250000000,160891007,760008036,55225007.0,Action,No Time to Die,Cary Joji Fukunaga,"Daniel Craig, Ana de Armas, Rami Malek, Léa Seydoux",$160.87M,Action
Avatar,237000000,785221649,2910370905,77025481.0,Action,Avatar,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",$760.51M,Action
Superman Returns,232000000,200120000,391081192,52535096.0,Adventure,Superman Returns,Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden",$200.08M,Action
The Dark Knight Rises,230000000,448139099,1082228107,160887295.0,Action,The Dark Knight Rises,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",$448.14M,Action
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,794861794,62983253.0,Adventure,Pirates of the Caribbean: Dead Men Tell No Tales,"Directors:Joachim Rønning, Espen Sandberg","Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom",$172.56M,Action
Quantum of Solace,230000000,169368427,591692078,67528882.0,Action,Quantum of Solace,Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench",$168.37M,Action
The Avengers,225000000,623357910,1515100211,207438708.0,Action,The Avengers,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner",$623.28M,Action
Man of Steel,225000000,291045518,667999518,116619362.0,Action,Man of Steel,Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",$291.05M,Action
The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288,55034805.0,Adventure,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,"Ben Barnes, Skandar Keynes, Georgie Henley, William Moseley",$141.62M,Action
The Lone Ranger,225000000,89302115,260002115,29210849.0,Western,The Lone Ranger,Gore Verbinski,"Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson",$89.30M,Action
The Amazing Spider-Man,220000000,262030663,757890267,62004688.0,Adventure,The Amazing Spider-Man,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan",$262.03M,Action
Battleship,220000000,65233400,313477717,25534825.0,Action,Battleship,Peter Berg,"Alexander Skarsgård, Brooklyn Decker, Liam Neeson, Rihanna",$65.42M,Action
Transformers: The Last Knight,217000000,130168683,602893340,44680073.0,Action,Transformers: The Last Knight,Michael Bay,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock",$130.17M,Action
Jurassic World,215000000,652306625,1669979967,208806270.0,Action,Jurassic World,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer",$652.27M,Action
Men in Black 3,215000000,179020854,654213485,54592779.0,Adventure,Men in Black 3,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement",$179.02M,Action
Transformers: Revenge of the Fallen,210000000,402111870,836519699,108966307.0,Action,Transformers: Revenge of the Fallen,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",$402.11M,Action
Transformers: Age of Extinction,210000000,245439076,1104054072,100038390.0,Action,Transformers: Age of Extinction,Michael Bay,"Mark Wahlberg, Nicola Peltz Beckham, Jack Reynor, Stanley Tucci",$245.44M,Action
X-Men: The Last Stand,210000000,234362462,459260946,102750665.0,Action,X-Men: The Last Stand,Brett Ratner,"Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen",$234.36M,Action
Robin Hood,210000000,105487148,322459006,36063385.0,Action,Robin Hood,Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen, Max von Sydow",$105.27M,Action
Robin Hood,210000000,105487148,322459006,36063385.0,Action,Robin Hood,Otto Bathurst,"Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson",$30.82M,Action
Robin Hood,210000000,105487148,322459006,36063385.0,Action,Robin Hood,"Directors:Wolfgang Reitherman, David Hand","Brian Bedford, Phil Harris, Roger Miller, Peter Ustinov",$32.06M,Animation
