name,production_cost,domestic_gross,worldwide_gross,opening_weekend,genre,Movie_Title,Director,Actors,Total_Gross,main_genre,director_name,actor_2_name,gross,genres_x,actor_1_name,budget_x,imdb_score,budget_y,genres_y,id,imdb_id,original_language,original_title,revenue
Avengers: Endgame,400000000.0,858373000.0,2797800564.0,357115007.0,Action,Avengers: Endgame,"Directors:Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",$858.37M,Action,,,,,,,,,,,,,,
Pirates of the Caribbean: On Stranger Tides,379000000.0,241071802.0,1045713802.0,90151958.0,Adventure,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush",$241.06M,Action,,,,,,,,,,,,,,
Avengers: Age of Ultron,365000000.0,459005868.0,1395316979.0,191271109.0,Action,Avengers: Age of Ultron,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",$459.01M,Action,,,,,,,,,,,,,,
Avengers: Infinity War,300000000.0,678815482.0,2048359754.0,257698183.0,Action,Avengers: Infinity War,"Directors:Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",$678.82M,Action,,,,,,,,,,,,,,
Justice League,300000000.0,229024295.0,655945209.0,93842239.0,Action,Justice League,Zack Snyder,"Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller",$229.02M,Action,,,,,,,,,,,,,,
Spectre,300000000.0,200074175.0,879500760.0,70403148.0,Action,Spectre,Sam Mendes,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",$200.07M,Action,,,,,,,,,,,,,,
Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,84420489.0,Adventure,Solo: A Star Wars Story,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover",$213.77M,Action,,,,,,,,,,,,,,
John Carter,263700000.0,73058679.0,282778100.0,30180188.0,Adventure,John Carter,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Willem Dafoe, Samantha Morton",$73.08M,Action,,,,,,,,,,,,,,
Batman v Superman: Dawn of Justice,263000000.0,330360194.0,872395091.0,166007347.0,Action,Batman v Superman: Dawn of Justice,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",$330.36M,Action,,,,,,,,,,,,,,
The Lion King,260000000.0,543638043.0,1647778651.0,191770759.0,Adventure,The Lion King,"Directors:Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg",$422.78M,Animation,,,,,,,,,,,,,,
Tangled,260000000.0,200821936.0,583777242.0,48767052.0,Musical,Tangled,"Directors:Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",$200.82M,Animation,,,,,,,,,,,,,,
Spider-Man 3,258000000.0,336530303.0,894860230.0,151116516.0,Adventure,Spider-Man 3,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church",$336.53M,Action,,,,,,,,,,,,,,
Captain America: Civil War,250000000.0,408084349.0,1151918521.0,179139142.0,Action,Captain America: Civil War,"Directors:Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",$408.08M,Action,,,,,,,,,,,,,,
Thor: Love and Thunder,250000000.0,343256830.0,745453552.0,144165107.0,Action,Thor: Love and Thunder,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson",Gross Unkown,Action,,,,,,,,,,,,,,
Harry Potter and the Half-Blood Prince,250000000.0,302089278.0,929411069.0,77835727.0,Adventure,Harry Potter and the Half-Blood Prince,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",$301.96M,Action,,,,,,,,,,,,,,
The Fate of the Furious,250000000.0,225764765.0,1236703796.0,98786705.0,Action,The Fate of the Furious,F. Gary Gray,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez",$226.01M,Action,,,,,,,,,,,,,,
No Time to Die,250000000.0,160891007.0,760008036.0,55225007.0,Action,No Time to Die,Cary Joji Fukunaga,"Daniel Craig, Ana de Armas, Rami Malek, Léa Seydoux",$160.87M,Action,,,,,,,,,,,,,,
Avatar,237000000.0,785221649.0,2910370905.0,77025481.0,Action,Avatar,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",$760.51M,Action,,,,,,,,,,,,,,
Superman Returns,232000000.0,200120000.0,391081192.0,52535096.0,Adventure,Superman Returns,Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden",$200.08M,Action,,,,,,,,,,,,,,
The Dark Knight Rises,230000000.0,448139099.0,1082228107.0,160887295.0,Action,The Dark Knight Rises,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",$448.14M,Action,,,,,,,,,,,,,,
Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,794861794.0,62983253.0,Adventure,Pirates of the Caribbean: Dead Men Tell No Tales,"Directors:Joachim Rønning, Espen Sandberg","Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom",$172.56M,Action,,,,,,,,,,,,,,
Quantum of Solace,230000000.0,169368427.0,591692078.0,67528882.0,Action,Quantum of Solace,Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench",$168.37M,Action,,,,,,,,,,,,,,
The Avengers,225000000.0,623357910.0,1515100211.0,207438708.0,Action,The Avengers,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner",$623.28M,Action,,,,,,,,,,,,,,
