director_name,actor_2_name,gross,genres,actor_1_name,movie_title,budget,imdb_score
James Cameron,Joel David Moore,760505847.0,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,Avatar ,237000000.0,7.9
Gore Verbinski,Orlando Bloom,309404152.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End ,300000000.0,7.1
Sam Mendes,Rory Kinnear,200074175.0,Action|Adventure|Thriller,Christoph Waltz,Spectre ,245000000.0,6.8
Christopher Nolan,Christian Bale,448130642.0,Action|Thriller,Tom Hardy,The Dark Knight Rises ,250000000.0,8.5
Doug Walker,Rob Walker,,Documentary,Doug Walker,Star Wars: Episode VII - The Force Awakens             ,,7.1
Andrew Stanton,Samantha Morton,73058679.0,Action|Adventure|Sci-Fi,Daryl Sabara,John Carter ,263700000.0,6.6
Sam Raimi,James Franco,336530303.0,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3 ,258000000.0,6.2
Nathan Greno,Donna Murphy,200807262.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Tangled ,260000000.0,7.8
Joss Whedon,Robert Downey Jr.,458991599.0,Action|Adventure|Sci-Fi,Chris Hemsworth,Avengers: Age of Ultron ,250000000.0,7.5
David Yates,Daniel Radcliffe,301956980.0,Adventure|Family|Fantasy|Mystery,Alan Rickman,Harry Potter and the Half-Blood Prince ,250000000.0,7.5
Zack Snyder,Lauren Cohan,330249062.0,Action|Adventure|Sci-Fi,Henry Cavill,Batman v Superman: Dawn of Justice ,250000000.0,6.9
Bryan Singer,Marlon Brando,200069408.0,Action|Adventure|Sci-Fi,Kevin Spacey,Superman Returns ,209000000.0,6.1
Marc Forster,Mathieu Amalric,168368427.0,Action|Adventure,Giancarlo Giannini,Quantum of Solace ,200000000.0,6.7
Gore Verbinski,Orlando Bloom,423032628.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,225000000.0,7.3
Gore Verbinski,Ruth Wilson,89289910.0,Action|Adventure|Western,Johnny Depp,The Lone Ranger ,215000000.0,6.5
Zack Snyder,Christopher Meloni,291021565.0,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,Man of Steel ,225000000.0,7.2
Andrew Adamson,Pierfrancesco Favino,141614023.0,Action|Adventure|Family|Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,225000000.0,6.6
Joss Whedon,Robert Downey Jr.,623279547.0,Action|Adventure|Sci-Fi,Chris Hemsworth,The Avengers ,220000000.0,8.1
Rob Marshall,Sam Claflin,241063875.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,250000000.0,6.7
Barry Sonnenfeld,Michael Stuhlbarg,179020854.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,Men in Black 3 ,225000000.0,6.8
Peter Jackson,Adam Brown,255108370.0,Adventure|Fantasy,Aidan Turner,The Hobbit: The Battle of the Five Armies ,250000000.0,7.5
Marc Webb,Andrew Garfield,262030663.0,Action|Adventure|Fantasy,Emma Stone,The Amazing Spider-Man ,230000000.0,7.0
Ridley Scott,William Hurt,105219735.0,Action|Adventure|Drama|History,Mark Addy,Robin Hood ,200000000.0,6.7
Peter Jackson,Adam Brown,258355354.0,Adventure|Fantasy,Aidan Turner,The Hobbit: The Desolation of Smaug ,225000000.0,7.9
Chris Weitz,Eva Green,70083519.0,Adventure|Family|Fantasy,Christopher Lee,The Golden Compass ,180000000.0,6.1
Peter Jackson,Thomas Kretschmann,218051260.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong ,207000000.0,7.2
James Cameron,Kate Winslet,658672302.0,Drama|Romance,Leonardo DiCaprio,Titanic ,200000000.0,7.7
Anthony Russo,Scarlett Johansson,407197282.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Captain America: Civil War ,250000000.0,8.2
Peter Berg,Alexander Skarsgård,65173160.0,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,Battleship ,209000000.0,5.9
Colin Trevorrow,Judy Greer,652177271.0,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,Jurassic World ,150000000.0,7.0
Sam Mendes,Helen McCrory,304360277.0,Action|Adventure|Thriller,Albert Finney,Skyfall ,200000000.0,7.8
Sam Raimi,James Franco,373377893.0,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man 2 ,200000000.0,7.3
Shane Black,Jon Favreau,408992272.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 3 ,200000000.0,7.2
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland ,200000000.0,6.5
Brett Ratner,Kelsey Grammer,234360014.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men: The Last Stand ,210000000.0,6.8
Dan Scanlon,Tyler Labine,268488329.0,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Monsters University ,200000000.0,7.3
Michael Bay,Kevin Dunn,402076689.0,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Revenge of the Fallen ,200000000.0,6.0
Michael Bay,Sophia Myles,245428137.0,Action|Adventure|Sci-Fi,Bingbing Li,Transformers: Age of Extinction ,210000000.0,5.7
Sam Raimi,Mila Kunis,234903076.0,Adventure|Family|Fantasy,Tim Holmes,Oz the Great and Powerful ,215000000.0,6.4
Marc Webb,Andrew Garfield,202853933.0,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,The Amazing Spider-Man 2 ,200000000.0,6.7
Joseph Kosinski,Olivia Wilde,172051787.0,Action|Adventure|Sci-Fi,Jeff Bridges,TRON: Legacy ,170000000.0,6.8
John Lasseter,Thomas Kretschmann,191450875.0,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,Cars 2 ,200000000.0,6.3
Martin Campbell,Temuera Morrison,116593191.0,Action|Adventure|Sci-Fi,Ryan Reynolds,Green Lantern ,200000000.0,5.6
Lee Unkrich,John Ratzenberger,414984497.0,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Toy Story 3 ,200000000.0,8.3
McG,Bryce Dallas Howard,125320003.0,Action|Adventure|Sci-Fi,Christian Bale,Terminator Salvation ,200000000.0,6.6
James Wan,Paul Walker,350034110.0,Action|Crime|Thriller,Jason Statham,Furious 7 ,190000000.0,7.2
Marc Forster,Brad Pitt,202351611.0,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,World War Z ,190000000.0,7.0
Bryan Singer,Peter Dinklage,233914986.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,X-Men: Days of Future Past ,200000000.0,8.0
J.J. Abrams,Bruce Greenwood,228756232.0,Action|Adventure|Sci-Fi,Benedict Cumberbatch,Star Trek Into Darkness ,190000000.0,7.8
Bryan Singer,Ewen Bremner,65171860.0,Adventure|Fantasy,Eddie Marsan,Jack the Giant Slayer ,195000000.0,6.3
Baz Luhrmann,Elizabeth Debicki,144812796.0,Drama|Romance,Leonardo DiCaprio,The Great Gatsby ,105000000.0,7.3
Mike Newell,Richard Coyle,90755643.0,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,200000000.0,6.6
Guillermo del Toro,Clifton Collins Jr.,101785482.0,Action|Adventure|Sci-Fi,Charlie Hunnam,Pacific Rim ,190000000.0,7.0
Michael Bay,Lester Speight,352358779.0,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Dark of the Moon ,195000000.0,6.3
Steven Spielberg,Ray Winstone,317011114.0,Action|Adventure|Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,185000000.0,6.2
Peter Sohn,Jack McGraw,123070338.0,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,The Good Dinosaur ,,6.8
Mark Andrews,John Ratzenberger,237282182.0,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,Brave ,185000000.0,7.2
Justin Lin,Melissa Roxburgh,130468626.0,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,Star Trek Beyond ,185000000.0,7.5
Andrew Stanton,Fred Willard,223806889.0,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,WALL·E ,180000000.0,8.4
Brett Ratner,Dana Ivey,140080850.0,Action|Comedy|Crime|Thriller,Tzi Ma,Rush Hour 3 ,140000000.0,6.2
Roland Emmerich,Liam James,166112167.0,Action|Adventure|Sci-Fi,Oliver Platt,2012 ,200000000.0,5.8
Robert Zemeckis,Colin Firth,137850096.0,Animation|Drama|Family|Fantasy,Robin Wright,A Christmas Carol ,200000000.0,6.8
Lana Wachowski,Mila Kunis,47375327.0,Action|Adventure|Sci-Fi,Channing Tatum,Jupiter Ascending ,176000000.0,5.4
David Yates,Alexander Skarsgård,124051759.0,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,180000000.0,6.6
Andrew Adamson,Kiran Shah,291709845.0,Adventure|Family|Fantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",180000000.0,6.9
Bryan Singer,Michael Fassbender,154985087.0,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: Apocalypse ,178000000.0,7.3
Christopher Nolan,Heath Ledger,533316061.0,Action|Crime|Drama|Thriller,Christian Bale,The Dark Knight ,185000000.0,9.0
Pete Docter,Delroy Lindo,292979556.0,Adventure|Animation|Comedy|Family,John Ratzenberger,Up ,175000000.0,8.3
Rob Letterman,Rainn Wilson,198332128.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,Monsters vs. Aliens ,175000000.0,6.5
Jon Favreau,Jeff Bridges,318298180.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man ,140000000.0,7.9
Martin Scorsese,Christopher Lee,73820094.0,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,Hugo ,170000000.0,7.5
Barry Sonnenfeld,Salma Hayek,113745408.0,Action|Comedy|Sci-Fi|Western,Will Smith,Wild Wild West ,170000000.0,4.8
Rob Cohen,Brendan Fraser,102176165.0,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,The Mummy: Tomb of the Dragon Emperor ,145000000.0,5.2
David Ayer,Robin Atkin Downes,161087183.0,Action|Adventure|Comedy|Sci-Fi,Will Smith,Suicide Squad ,175000000.0,6.9
Tom Shadyac,Morgan Freeman,100289690.0,Comedy|Family|Fantasy,Jimmy Bennett,Evan Almighty ,175000000.0,5.4
Doug Liman,Lara Pulver,100189501.0,Action|Adventure|Sci-Fi,Tom Cruise,Edge of Tomorrow ,178000000.0,7.9
Kevin Reynolds,Rick Aviles,88246220.0,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,Waterworld ,175000000.0,6.1
Stephen Sommers,Dennis Quaid,150167630.0,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,175000000.0,5.8
Pete Docter,Mindy Kaling,356454367.0,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,Inside Out ,175000000.0,8.3
Jon Favreau,Bill Murray,362645141.0,Adventure|Drama|Family|Fantasy,Scarlett Johansson,The Jungle Book ,175000000.0,7.8
Jon Favreau,Scarlett Johansson,312057433.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 2 ,200000000.0,7.0
Rupert Sanders,Kristen Stewart,155111815.0,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Snow White and the Huntsman ,170000000.0,6.1
Robert Stromberg,Sharlto Copley,241407328.0,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Maleficent ,180000000.0,7.0
Matt Reeves,Judy Greer,208543795.0,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Dawn of the Planet of the Apes ,170000000.0,7.6
Roland Joffé,Alice Englert,,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,The Lovers ,,4.5
Carl Rinsch,Cary-Hiroyuki Tagawa,38297305.0,Action|Adventure|Drama|Fantasy,Keanu Reeves,47 Ronin ,175000000.0,6.3
Anthony Russo,Chris Evans,259746958.0,Action|Adventure|Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier ,170000000.0,7.8
Mike Mitchell,Kathy Griffin,238371987.0,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,Shrek Forever After ,165000000.0,6.4
Brad Bird,Chris Bauer,93417865.0,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,Tomorrowland ,190000000.0,6.5
Don Hall,Daniel Henney,222487711.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,Big Hero 6 ,165000000.0,7.9
Rich Moore,Sarah Silverman,189412677.0,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Wreck-It Ralph ,165000000.0,7.8
Robert Zemeckis,Eddie Deezen,665426.0,Adventure|Animation|Family|Fantasy,Tom Hanks,The Polar Express ,165000000.0,6.6
Roland Emmerich,Sela Ward,102315545.0,Action|Adventure|Sci-Fi,Vivica A. Fox,Independence Day: Resurgence ,165000000.0,5.5
Dean DeBlois,America Ferrera,217387997.0,Adventure|Animation|Family|Fantasy,Gerard Butler,How to Train Your Dragon ,165000000.0,8.2
Jonathan Mostow,M.C. Gainey,150350192.0,Action|Sci-Fi,Nick Stahl,Terminator 3: Rise of the Machines ,200000000.0,6.4
James Gunn,Vin Diesel,333130696.0,Action|Adventure|Sci-Fi,Bradley Cooper,Guardians of the Galaxy ,170000000.0,8.1
Christopher Nolan,Anne Hathaway,187991439.0,Adventure|Drama|Sci-Fi,Matthew McConaughey,Interstellar ,165000000.0,8.6
Christopher Nolan,Tom Hardy,292568851.0,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,Inception ,160000000.0,8.8
Hideaki Anno,Shin'ya Tsukamoto,,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Godzilla Resurgence ,,8.2
Peter Jackson,Adam Brown,303001229.0,Adventure|Fantasy,Aidan Turner,The Hobbit: An Unexpected Journey ,180000000.0,7.9
Rob Cohen,Vin Diesel,144512310.0,Action|Crime|Thriller,Paul Walker,The Fast and the Furious ,38000000.0,6.7
David Fincher,Jason Flemyng,127490802.0,Drama|Fantasy|Romance,Brad Pitt,The Curious Case of Benjamin Button ,150000000.0,7.8
Matthew Vaughn,Michael Fassbender,146405371.0,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: First Class ,160000000.0,7.8
Francis Lawrence,Philip Seymour Hoffman,281666058.0,Adventure|Sci-Fi,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,160000000.0,6.6
Jon Turteltaub,Omar Benson Miller,63143812.0,Action|Adventure|Family|Fantasy,Nicolas Cage,The Sorcerer's Apprentice ,150000000.0,6.1
Wolfgang Petersen,Mike Vogel,60655503.0,Action|Adventure|Drama|Thriller,Jimmy Bennett,Poseidon ,160000000.0,5.6
James Bobin,Alan Rickman,76846624.0,Adventure|Family|Fantasy,Johnny Depp,Alice Through the Looking Glass ,170000000.0,6.4
Chris Miller,Eric Idle,320706665.0,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,Shrek the Third ,160000000.0,6.1
Duncan Jones,Callum Rennie,46978995.0,Action|Adventure|Fantasy,Dominic Cooper,Warcraft ,160000000.0,7.3
Alan Taylor,Emilia Clarke,89732035.0,Action|Adventure|Sci-Fi,J.K. Simmons,Terminator Genisys ,155000000.0,6.6
Michael Apted,Shane Rangi,104383624.0,Adventure|Family|Fantasy,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,155000000.0,6.3
Michael Bay,Jaime King,198539855.0,Action|Drama|History|Romance|War,Jennifer Garner,Pearl Harbor ,140000000.0,6.1
Michael Bay,Michael O'Neill,318759914.0,Action|Adventure|Sci-Fi,Zack Ward,Transformers ,150000000.0,7.1
Oliver Stone,Angelina Jolie Pitt,34293771.0,Action|Adventure|Biography|Drama|History|Romance|War,Anthony Hopkins,Alexander ,155000000.0,5.5
David Yates,Daniel Radcliffe,292000866.0,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Harry Potter and the Order of the Phoenix ,150000000.0,7.5
Mike Newell,Daniel Radcliffe,289994397.0,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Harry Potter and the Goblet of Fire ,150000000.0,7.6
Peter Berg,Charlize Theron,227946274.0,Action|Drama,Will Smith,Hancock ,150000000.0,6.4
Francis Lawrence,Alice Braga,256386216.0,Drama|Horror|Sci-Fi,Will Smith,I Am Legend ,150000000.0,7.2
Tim Burton,Christopher Lee,206456431.0,Adventure|Comedy|Family|Fantasy,Johnny Depp,Charlie and the Chocolate Factory ,150000000.0,6.7
Brad Bird,John Ratzenberger,206435493.0,Animation|Comedy|Family|Fantasy,Janeane Garofalo,Ratatouille ,150000000.0,8.0
Christopher Nolan,Liam Neeson,205343774.0,Action|Adventure,Christian Bale,Batman Begins ,150000000.0,8.3
Eric Darnell,Jada Pinkett Smith,179982968.0,Action|Adventure|Animation|Comedy|Family,Bernie Mac,Madagascar: Escape 2 Africa ,150000000.0,6.7
Shawn Levy,Rami Malek,177243721.0,Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum: Battle of the Smithsonian ,150000000.0,5.9
Gavin Hood,Ryan Reynolds,179883016.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men Origins: Wolverine ,150000000.0,6.7
Lana Wachowski,Collin Chou,139259759.0,Action|Sci-Fi,Essie Davis,The Matrix Revolutions ,150000000.0,6.7
