name,genre,score,director,star,budget,gross
The Shining,Drama,8.4,Stanley Kubrick,Jack Nicholson,19000000.0,46998772.0
The Blue Lagoon,Adventure,5.8,Randal Kleiser,Brooke Shields,4500000.0,58853106.0
Star Wars: Episode V - The Empire Strikes Back,Action,8.7,Irvin Kershner,Mark Hamill,18000000.0,538375067.0
Airplane!,Comedy,7.7,Jim Abrahams,Robert Hays,3500000.0,83453539.0
Caddyshack,Comedy,7.3,Harold Ramis,Chevy Chase,6000000.0,39846344.0
Friday the 13th,Horror,6.4,Sean S. Cunningham,Betsy Palmer,550000.0,39754601.0
The Blues Brothers,Action,7.9,John Landis,John Belushi,27000000.0,115229890.0
Raging Bull,Biography,8.2,Martin Scorsese,Robert De Niro,18000000.0,23402427.0
Superman II,Action,6.8,Richard Lester,Gene Hackman,54000000.0,108185706.0
The Long Riders,Biography,7.0,Walter Hill,David Carradine,10000000.0,15795189.0
Any Which Way You Can,Action,6.1,Buddy Van Horn,Clint Eastwood,15000000.0,70687344.0
The Gods Must Be Crazy,Adventure,7.3,Jamie Uys,N!xau,5000000.0,30031783.0
Popeye,Adventure,5.3,Robert Altman,Robin Williams,20000000.0,49823037.0
Ordinary People,Drama,7.7,Robert Redford,Donald Sutherland,6000000.0,54766923.0
Dressed to Kill,Crime,7.1,Brian De Palma,Michael Caine,6500000.0,31899000.0
Somewhere in Time,Drama,7.2,Jeannot Szwarc,Christopher Reeve,5100000.0,9709597.0
Fame,Drama,6.6,Alan Parker,Eddie Barth,,21202829.0
9 to 5,Comedy,6.9,Colin Higgins,Jane Fonda,10000000.0,103300686.0
The Fog,Horror,6.8,John Carpenter,Adrienne Barbeau,1000000.0,21448782.0
Stir Crazy,Comedy,6.8,Sidney Poitier,Gene Wilder,,101300000.0
Cruising,Crime,6.5,William Friedkin,Al Pacino,11000000.0,19814523.0
Heaven's Gate,Adventure,6.8,Michael Cimino,Kris Kristofferson,44000000.0,3484523.0
The Final Countdown,Action,6.7,Don Taylor,Kirk Douglas,12000000.0,16647800.0
Xanadu,Fantasy,5.3,Robert Greenwald,Olivia Newton-John,20000000.0,22762571.0
Urban Cowboy,Drama,6.4,James Bridges,John Travolta,,46918287.0
Altered States,Horror,6.9,Ken Russell,William Hurt,,19853892.0
Little Darlings,Comedy,6.5,Ron Maxwell,Tatum O'Neal,,34326249.0
Raise the Titanic,Action,5.0,Jerry Jameson,Jason Robards,36000000.0,
Brubaker,Crime,7.2,Stuart Rosenberg,Robert Redford,9000000.0,37121708.0
American Gigolo,Crime,6.2,Paul Schrader,Richard Gere,4800000.0,22743674.0
My Bodyguard,Comedy,7.1,Tony Bill,Chris Makepeace,,22482952.0
Prom Night,Horror,5.4,Paul Lynch,Leslie Nielsen,,14796236.0
Smokey and the Bandit II,Action,5.3,Hal Needham,Burt Reynolds,,66132626.0
Cattle Annie and Little Britches,Drama,6.1,Lamont Johnson,Scott Glenn,5100000.0,534816.0
Seems Like Old Times,Comedy,6.7,Jay Sandrich,Goldie Hawn,,43995918.0
