name,genre,score,director,budget_x,gross_x,actor_2_name,gross_y,actor_1_name,budget_y,gross,budget
The Shining,Drama,8.4,Stanley Kubrick,19000000.0,46998772.0,Shelley Duvall,,Scatman Crothers,19000000.0,46998772.0,19000000.0
The Blue Lagoon,Adventure,5.8,Randal Kleiser,4500000.0,58853106.0,Christopher Atkins,,Brooke Shields,4500000.0,58853106.0,4500000.0
Star Wars: Episode V - The Empire Strikes Back,Action,8.7,Irvin Kershner,18000000.0,538375067.0,Kenny Baker,290158751.0,Harrison Ford,18000000.0,538375067.0,18000000.0
Airplane!,Comedy,7.7,Jim Abrahams,3500000.0,83453539.0,Lloyd Bridges,83400000.0,Peter Graves,3500000.0,83453539.0,3500000.0
Caddyshack,Comedy,7.3,Harold Ramis,6000000.0,39846344.0,Rodney Dangerfield,39800000.0,Bill Murray,6000000.0,39846344.0,6000000.0
The Blues Brothers,Action,7.9,John Landis,27000000.0,115229890.0,Aretha Franklin,54200000.0,John Belushi,27000000.0,115229890.0,27000000.0
Raging Bull,Biography,8.2,Martin Scorsese,18000000.0,23402427.0,Cathy Moriarty,45250.0,Robert De Niro,18000000.0,23402427.0,18000000.0
Superman II,Action,6.8,Richard Lester,54000000.0,108185706.0,Ned Beatty,108200000.0,Margot Kidder,54000000.0,108185706.0,54000000.0
The Long Riders,Biography,7.0,Walter Hill,10000000.0,15795189.0,David Carradine,,Dennis Quaid,10000000.0,15795189.0,10000000.0
Ordinary People,Drama,7.7,Robert Redford,6000000.0,54766923.0,Elizabeth McGovern,54800000.0,Adam Baldwin,6000000.0,54766923.0,6000000.0
Dressed to Kill,Crime,7.1,Brian De Palma,6500000.0,31899000.0,David Margulies,31899000.0,Angie Dickinson,6500000.0,31899000.0,6500000.0
Somewhere in Time,Drama,7.2,Jeannot Szwarc,5100000.0,9709597.0,Bill Erwin,,Teresa Wright,5100000.0,9709597.0,5100000.0
Fame,Drama,6.6,Alan Parker,,21202829.0,Kay Panabaker,22452209.0,Kelsey Grammer,18000000.0,21202829.0,18000000.0
The Fog,Horror,6.8,John Carpenter,1000000.0,21448782.0,Hal Holbrook,21378000.0,Jamie Lee Curtis,1000000.0,21448782.0,1000000.0
Heaven's Gate,Adventure,6.8,Michael Cimino,44000000.0,3484523.0,Sam Waterston,1500000.0,Jeff Bridges,44000000.0,3484523.0,44000000.0
Prom Night,Horror,5.4,Paul Lynch,,14796236.0,Scott Porter,43818159.0,Ming-Na Wen,20000000.0,14796236.0,20000000.0
Private Benjamin,Comedy,6.2,Howard Zieff,10000000.0,69847348.0,Albert Brooks,69800000.0,Eileen Brennan,10000000.0,69847348.0,10000000.0
The Awakening,Horror,4.8,Mike Newell,,8415112.0,Imelda Staunton,,Isaac Hempstead Wright,3000000.0,8415112.0,3000000.0
The Island,Action,5.3,Michael Ritchie,22000000.0,15716828.0,Steve Buscemi,35799026.0,Scarlett Johansson,126000000.0,15716828.0,126000000.0
Escape from New York,Action,7.2,John Carpenter,6000000.0,25244626.0,Adrienne Barbeau,25244700.0,Donald Pleasence,6000000.0,25244626.0,6000000.0
The Evil Dead,Horror,7.5,Sam Raimi,350000.0,2956630.0,Betsy Baker,,Ted Raimi,375000.0,2956630.0,375000.0
Porky's,Comedy,6.2,Bob Clark,2500000.0,111289673.0,Susan Clark,105500000.0,Art Hindle,4000000.0,111289673.0,4000000.0
Blow Out,Crime,7.4,Brian De Palma,18000000.0,12000000.0,Dennis Franz,,Nancy Allen,18000000.0,12000000.0,18000000.0
Clash of the Titans,Action,6.9,Desmond Davis,15000000.0,41092328.0,Jason Flemyng,163192114.0,Liam Neeson,125000000.0,41092328.0,125000000.0
Das Boot,Adventure,8.3,Wolfgang Petersen,,11487676.0,Martin Semmelrogge,11433134.0,Jürgen Prochnow,14000000.0,11487676.0,14000000.0
Stripes,Comedy,6.9,Ivan Reitman,10000000.0,85297000.0,Harold Ramis,85300000.0,Bill Murray,10000000.0,85297000.0,10000000.0
Endless Love,Drama,4.9,Franco Zeffirelli,,32492674.0,Bruce Greenwood,23393765.0,Alex Pettyfer,20000000.0,32492674.0,20000000.0
Time Bandits,Adventure,7.0,Terry Gilliam,5000000.0,42368025.0,Michael Palin,42365600.0,Shelley Duvall,5000000.0,42368025.0,5000000.0
Friday the 13th Part 2,Horror,6.1,Steve Miner,1250000.0,21722776.0,Adrienne King,19100000.0,Betsy Palmer,1250000.0,21722776.0,1250000.0
For Your Eyes Only,Action,6.7,John Glen,28000000.0,54813222.0,Topol,62300000.0,Julian Glover,28000000.0,54813222.0,28000000.0
Halloween II,Horror,6.5,Rick Rosenthal,2500000.0,25533818.0,Tyler Mane,33386128.0,Scout Taylor-Compton,15000000.0,25533818.0,15000000.0
Reds,Biography,7.3,Warren Beatty,32000000.0,40382659.0,Warren Beatty,,Paul Sorvino,35000000.0,40382659.0,35000000.0
Chariots of Fire,Biography,7.2,Hugh Hudson,5500000.0,59303359.0,Ben Cross,58800000.0,Alice Krige,5500000.0,59303359.0,5500000.0
History of the World: Part I,Comedy,6.9,Mel Brooks,11000000.0,31672907.0,Sid Caesar,,Madeline Kahn,11000000.0,31672907.0,11000000.0
The Howling,Horror,6.6,Joe Dante,1000000.0,17985893.0,Robert Picardo,17986000.0,Patrick Macnee,1000000.0,17985893.0,1000000.0
Dragonslayer,Action,6.7,Matthew Robbins,18000000.0,14110013.0,Ralph Richardson,6000000.0,Ian McDiarmid,18000000.0,14110013.0,18000000.0
Quest for Fire,Adventure,7.3,Jean-Jacques Annaud,12500000.0,20962615.0,Everett McGill,,Rae Dawn Chong,12500000.0,20962615.0,12500000.0
Mommie Dearest,Biography,6.7,Frank Perry,5000000.0,19032261.0,Xander Berkeley,,Faye Dunaway,5000000.0,19032261.0,5000000.0
The Postman Always Rings Twice,Crime,6.6,Bob Rafelson,12000000.0,12376625.0,Michael Lerner,,Anjelica Huston,12000000.0,12376625.0,12000000.0
The Beyond,Horror,6.8,Lucio Fulci,400000.0,123843.0,David Warbeck,126387.0,Catriona MacColl,400000.0,123843.0,400000.0
My Bloody Valentine,Horror,6.3,George Mihalka,,5672031.0,Jaime King,51527787.0,Jensen Ackles,15000000.0,5672031.0,15000000.0
Nighthawks,Action,6.4,Bruce Malmuth,5000000.0,19905359.0,Lindsay Wagner,,Sylvester Stallone,5000000.0,19905359.0,5000000.0
Neighbors,Comedy,5.6,John G. Avildsen,8500000.0,29916207.0,Carla Gallo,150056505.0,Craig Roberts,18000000.0,29916207.0,18000000.0
Under the Rainbow,Comedy,5.4,Steve Rash,20000000.0,18826490.0,Adam Arkin,8500000.0,Mako,20000000.0,18826490.0,20000000.0
Quartet,Drama,6.3,James Ivory,,12042.0,Sheridan Smith,18381787.0,Luke Newberry,11000000.0,12042.0,11000000.0
Modern Problems,Comedy,5.1,Ken Shapiro,8000000.0,26154211.0,Dabney Coleman,,Brian Doyle-Murray,8000000.0,26154211.0,8000000.0
The Legend of the Lone Ranger,Action,5.1,William A. Fraker,18000000.0,12617845.0,Richard Farnsworth,8000000.0,Jason Robards,18000000.0,12617845.0,18000000.0
Sphinx,Adventure,5.2,Franklin J. Schaffner,14000000.0,2022771.0,William Hootkins,800000.0,Frank Langella,14000000.0,2022771.0,14000000.0
Heartbeeps,Comedy,4.3,Allan Arkush,12000000.0,2154696.0,Randy Quaid,,Bernadette Peters,10000000.0,2154696.0,10000000.0
Inchon,Drama,2.7,Terence Young,46000000.0,5200986.0,Ben Gazzara,,Laurence Olivier,48000000.0,5200986.0,48000000.0
The Pursuit of D.B. Cooper,Adventure,5.6,Roger Spottiswoode,12000000.0,3702028.0,Treat Williams,,Robert Duvall,12000000.0,3702028.0,12000000.0
Fast Times at Ridgemont High,Comedy,7.2,Amy Heckerling,4500000.0,27092880.0,Judge Reinhold,,Jennifer Jason Leigh,4500000.0,27092880.0,4500000.0
Blade Runner,Action,8.1,Ridley Scott,28000000.0,41676878.0,Sean Young,27000000.0,Harrison Ford,28000000.0,41676878.0,28000000.0
The Thing,Horror,8.1,John Carpenter,15000000.0,19632053.0,Richard Masur,13782838.0,Wilford Brimley,15000000.0,19632053.0,15000000.0
Conan the Barbarian,Action,6.9,John Milius,20000000.0,68851475.0,Mako,37567440.0,William Smith,20000000.0,68851475.0,20000000.0
E.T. the Extra-Terrestrial,Family,7.8,Steven Spielberg,10500000.0,792910554.0,Dee Wallace,434949459.0,Henry Thomas,10500000.0,792910554.0,10500000.0
First Blood,Action,7.7,Ted Kotcheff,15000000.0,125212904.0,Brian Dennehy,,Sylvester Stallone,14000000.0,125212904.0,14000000.0
Annie,Comedy,6.6,John Huston,50000000.0,57063861.0,Dorian Missick,85911262.0,Quvenzhané Wallis,65000000.0,57063861.0,65000000.0
Poltergeist,Horror,7.3,Tobe Hooper,10700000.0,77142388.0,Zelda Rubinstein,76600000.0,Heather O'Rourke,10700000.0,77142388.0,10700000.0
Star Trek II: The Wrath of Khan,Action,7.7,Nicholas Meyer,11200000.0,78912963.0,Kirstie Alley,78900000.0,Leonard Nimoy,11000000.0,78912963.0,11000000.0
Gandhi,Biography,8.0,Richard Attenborough,22000000.0,52767889.0,Amrish Puri,,Candice Bergen,22000000.0,52767889.0,22000000.0
Tootsie,Comedy,7.4,Sydney Pollack,21000000.0,177200000.0,Sydney Pollack,177200000.0,Bill Murray,22000000.0,177200000.0,22000000.0
The Beastmaster,Action,6.2,Don Coscarelli,8000000.0,14056528.0,John Amos,,Vanna Bonta,8000000.0,14056528.0,8000000.0
Creepshow,Comedy,6.9,George A. Romero,8000000.0,21028755.0,Hal Holbrook,,Ted Danson,8000000.0,21028755.0,8000000.0
The Man from Snowy River,Adventure,7.3,George Miller,3500000.0,20659423.0,Jack Thompson,,Tony Bonner,3500000.0,20659423.0,3500000.0
Cat People,Fantasy,6.2,Paul Schrader,18000000.0,7000000.0,Ruby Dee,,Ed Begley Jr.,18000000.0,7000000.0,18000000.0
Friday the 13th Part III,Horror,5.7,Steve Miner,2300000.0,36690067.0,Dana Kimmell,36200000.0,Richard Brooker,4000000.0,36690067.0,4000000.0
Firefox,Action,6.0,Clint Eastwood,18000000.0,46708276.0,Warren Clarke,46700000.0,Clint Eastwood,21000000.0,46708276.0,21000000.0
Halloween III: Season of the Witch,Horror,5.0,Tommy Lee Wallace,2500000.0,14400000.0,Dan O'Herlihy,14400000.0,Tom Atkins,2500000.0,14400000.0,2500000.0
The Verdict,Drama,7.7,Sidney Lumet,16000000.0,53993738.0,James Mason,54000000.0,Charlotte Rampling,16000000.0,53993738.0,16000000.0
Diner,Comedy,7.1,Barry Levinson,5000000.0,14099953.0,Daniel Stern,14100000.0,Steve Guttenberg,5000000.0,14099953.0,5000000.0
The Best Little Whorehouse in Texas,Comedy,6.0,Colin Higgins,35000000.0,69701637.0,Barry Corbin,69700000.0,Dolly Parton,35000000.0,69701637.0,35000000.0
Megaforce,Action,3.7,Hal Needham,20000000.0,5675599.0,Michael Beck,5333658.0,Barry Bostwick,20000000.0,5675599.0,20000000.0
Jekyll and Hyde... Together Again,Sci-Fi,6.2,Jerry Belson,5000000.0,3792188.0,Tim Thomerson,,Cassandra Peterson,5000000.0,3792188.0,5000000.0
Scarface,Crime,8.3,Brian De Palma,25000000.0,65884703.0,F. Murray Abraham,44700000.0,Al Pacino,25000000.0,65884703.0,25000000.0
The Outsiders,Crime,7.1,Francis Ford Coppola,10000000.0,25697647.0,William Smith,25600000.0,Tom Cruise,10000000.0,25697647.0,10000000.0
Star Wars: Episode VI - Return of the Jedi,Action,8.3,Richard Marquand,32500000.0,475106177.0,Ian McDiarmid,309125409.0,Harrison Ford,32500000.0,475106177.0,32500000.0
National Lampoon's Vacation,Adventure,7.4,Harold Ramis,15000000.0,61399552.0,Randy Quaid,61400000.0,Beverly D'Angelo,15000000.0,61399552.0,15000000.0
Superman III,Action,5.0,Richard Lester,39000000.0,59950623.0,Robert Vaughn,60000000.0,Margot Kidder,39000000.0,59950623.0,39000000.0
Flashdance,Drama,6.2,Adrian Lyne,4000000.0,92921203.0,Cynthia Rhodes,94900000.0,Michael Nouri,4000000.0,92921203.0,4000000.0
WarGames,Action,7.1,John Badham,12000000.0,79567667.0,Barry Corbin,79568000.0,Matthew Broderick,12000000.0,79567667.0,12000000.0
The Right Stuff,Adventure,7.8,Philip Kaufman,27000000.0,21192315.0,Scott Glenn,21500000.0,Dennis Quaid,27000000.0,21192315.0,27000000.0
Krull,Action,6.1,Peter Yates,47000000.0,16916617.0,Alun Armstrong,,Liam Neeson,27000000.0,16916617.0,27000000.0
Octopussy,Action,6.5,John Glen,27500000.0,67893619.0,Kabir Bedi,67900000.0,Louis Jourdan,27500000.0,67893619.0,27500000.0
Videodrome,Horror,7.2,David Cronenberg,5952000.0,2120439.0,Leslie Carlson,,Debbie Harry,5952000.0,2120439.0,5952000.0
Twilight Zone: The Movie,Horror,6.5,Directors,10000000.0,29450919.0,Al Leong,29500000.0,Albert Brooks,10000000.0,29450919.0,10000000.0
Never Say Never Again,Action,6.2,Irvin Kershner,36000000.0,55432841.0,Klaus Maria Brandauer,55500000.0,Bernie Casey,36000000.0,55432841.0,36000000.0
A Christmas Story,Comedy,7.9,Bob Clark,3300000.0,20653717.0,Darren McGavin,,Zack Ward,4000000.0,20653717.0,4000000.0
Bad Boys,Crime,7.2,Rick Rosenthal,,9190819.0,Tchéky Karyo,65807024.0,Will Smith,19000000.0,9190819.0,19000000.0
Yentl,Drama,6.6,Barbra Streisand,12000000.0,40218899.0,Amy Irving,30400000.0,Miriam Margolyes,12000000.0,40218899.0,12000000.0
Lone Wolf McQuade,Action,6.3,Steve Carver,5000000.0,12232628.0,William Sanderson,12200000.0,David Carradine,5000000.0,12232628.0,5000000.0
Losin' It,Comedy,4.9,Curtis Hanson,7000000.0,1246141.0,Shelley Long,,Tom Cruise,7000000.0,1246141.0,7000000.0
Sahara,Adventure,5.0,Andrew V. McLaglen,25000000.0,1402962.0,Rainn Wilson,68642452.0,Matthew McConaughey,130000000.0,1402962.0,130000000.0
Hercules,Adventure,4.0,Luigi Cozzi,2500000.0,10676194.0,Rufus Sewell,72660029.0,Dwayne Johnson,100000000.0,10676194.0,100000000.0
The Wicked Lady,Adventure,4.7,Michael Winner,8000000.0,724912.0,Marina Sirtis,,Faye Dunaway,8000000.0,724912.0,8000000.0
Love Letters,Drama,5.9,Amy Holden Jones,550000.0,5269990.0,Sally Kirkland,,Jamie Lee Curtis,550000.0,5269990.0,550000.0
The Terminator,Action,8.0,James Cameron,6400000.0,78371200.0,Brian Thompson,38400000.0,Michael Biehn,6500000.0,78371200.0,6500000.0
Dune,Action,6.5,David Lynch,40000000.0,30925690.0,Jürgen Prochnow,27400000.0,Virginia Madsen,40000000.0,30925690.0,40000000.0
Ghostbusters,Action,7.8,Ivan Reitman,30000000.0,296187079.0,Kate McKinnon,118099659.0,Ed Begley Jr.,144000000.0,296187079.0,144000000.0
The Karate Kid,Action,7.3,John G. Avildsen,8000000.0,91119319.0,William Zabka,90800000.0,Martin Kove,8000000.0,91119319.0,8000000.0
Once Upon a Time in America,Crime,8.4,Sergio Leone,30000000.0,5473212.0,Burt Young,5300000.0,Robert De Niro,30000000.0,5473212.0,30000000.0
