name,genre,score,director,star,budget_x,gross_x,director_name,actor_2_name,gross_y,genres,actor_1_name,movie_title,budget_y,imdb_score
The Shining,Drama,8.4,Stanley Kubrick,Jack Nicholson,19000000.0,46998772.0,Stanley Kubrick,Shelley Duvall,,Drama|Horror,Scatman Crothers,The Shining,19000000.0,8.4
The Blue Lagoon,Adventure,5.8,Randal Kleiser,Brooke Shields,4500000.0,58853106.0,Randal Kleiser,Christopher Atkins,,Adventure|Drama|Romance,Brooke Shields,The Blue Lagoon,4500000.0,5.7
Star Wars: Episode V - The Empire Strikes Back,Action,8.7,Irvin Kershner,Mark Hamill,18000000.0,538375067.0,Irvin Kershner,Kenny Baker,290158751.0,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode V - The Empire Strikes Back,18000000.0,8.8
Airplane!,Comedy,7.7,Jim Abrahams,Robert Hays,3500000.0,83453539.0,Jim Abrahams,Lloyd Bridges,83400000.0,Comedy,Peter Graves,Airplane!,3500000.0,7.8
Caddyshack,Comedy,7.3,Harold Ramis,Chevy Chase,6000000.0,39846344.0,Harold Ramis,Rodney Dangerfield,39800000.0,Comedy|Sport,Bill Murray,Caddyshack,6000000.0,7.4
The Blues Brothers,Action,7.9,John Landis,John Belushi,27000000.0,115229890.0,John Landis,Aretha Franklin,54200000.0,Action|Comedy|Crime|Music,John Belushi,The Blues Brothers,27000000.0,7.9
Raging Bull,Biography,8.2,Martin Scorsese,Robert De Niro,18000000.0,23402427.0,Martin Scorsese,Cathy Moriarty,45250.0,Biography|Drama|Sport,Robert De Niro,Raging Bull,18000000.0,8.3
Superman II,Action,6.8,Richard Lester,Gene Hackman,54000000.0,108185706.0,Richard Lester,Ned Beatty,108200000.0,Action|Adventure|Romance|Sci-Fi,Margot Kidder,Superman II,54000000.0,6.8
The Long Riders,Biography,7.0,Walter Hill,David Carradine,10000000.0,15795189.0,Walter Hill,David Carradine,,Western,Dennis Quaid,The Long Riders,10000000.0,7.1
Ordinary People,Drama,7.7,Robert Redford,Donald Sutherland,6000000.0,54766923.0,Robert Redford,Elizabeth McGovern,54800000.0,Drama,Adam Baldwin,Ordinary People,6000000.0,7.8
Dressed to Kill,Crime,7.1,Brian De Palma,Michael Caine,6500000.0,31899000.0,Brian De Palma,David Margulies,31899000.0,Mystery|Romance|Thriller,Angie Dickinson,Dressed to Kill,6500000.0,7.1
Somewhere in Time,Drama,7.2,Jeannot Szwarc,Christopher Reeve,5100000.0,9709597.0,Jeannot Szwarc,Bill Erwin,,Drama|Fantasy|Romance,Teresa Wright,Somewhere in Time,5100000.0,7.3
Fame,Drama,6.6,Alan Parker,Eddie Barth,,21202829.0,Kevin Tancharoen,Kay Panabaker,22452209.0,Comedy|Drama|Musical|Romance,Kelsey Grammer,Fame,18000000.0,5.0
Fame,Comedy,5.1,Kevin Tancharoen,Kelsey Grammer,18000000.0,77211836.0,Kevin Tancharoen,Kay Panabaker,22452209.0,Comedy|Drama|Musical|Romance,Kelsey Grammer,Fame,18000000.0,5.0
The Fog,Horror,6.8,John Carpenter,Adrienne Barbeau,1000000.0,21448782.0,John Carpenter,Hal Holbrook,21378000.0,Fantasy|Horror,Jamie Lee Curtis,The Fog,1000000.0,6.8
The Fog,Horror,6.8,John Carpenter,Adrienne Barbeau,1000000.0,21448782.0,John Carpenter,Hal Holbrook,21378000.0,Fantasy|Horror,Jamie Lee Curtis,The Fog,1000000.0,6.8
The Fog,Horror,3.7,Rupert Wainwright,Tom Welling,18000000.0,46201432.0,John Carpenter,Hal Holbrook,21378000.0,Fantasy|Horror,Jamie Lee Curtis,The Fog,1000000.0,6.8
The Fog,Horror,3.7,Rupert Wainwright,Tom Welling,18000000.0,46201432.0,John Carpenter,Hal Holbrook,21378000.0,Fantasy|Horror,Jamie Lee Curtis,The Fog,1000000.0,6.8
Heaven's Gate,Adventure,6.8,Michael Cimino,Kris Kristofferson,44000000.0,3484523.0,Michael Cimino,Sam Waterston,1500000.0,Adventure|Drama|Western,Jeff Bridges,Heaven's Gate,44000000.0,6.8
Raise the Titanic,Action,5.0,Jerry Jameson,Jason Robards,36000000.0,,Jerry Jameson,Jason Robards,7000000.0,Action|Adventure|Drama|Thriller,M. Emmet Walsh,Raise the Titanic,36000000.0,4.7
Prom Night,Horror,5.4,Paul Lynch,Leslie Nielsen,,14796236.0,Nelson McCormick,Scott Porter,43818159.0,Horror|Mystery,Ming-Na Wen,Prom Night,20000000.0,3.9
Prom Night,Horror,3.9,Nelson McCormick,Brittany Snow,20000000.0,57197876.0,Nelson McCormick,Scott Porter,43818159.0,Horror|Mystery,Ming-Na Wen,Prom Night,20000000.0,3.9
Private Benjamin,Comedy,6.2,Howard Zieff,Goldie Hawn,10000000.0,69847348.0,Howard Zieff,Albert Brooks,69800000.0,Comedy|War,Eileen Brennan,Private Benjamin,10000000.0,6.1
Coal Miner's Daughter,Biography,7.5,Michael Apted,Sissy Spacek,,67182787.0,Michael Apted,Beverly D'Angelo,79900000.0,Biography|Drama|Music|Musical,Sissy Spacek,Coal Miner's Daughter,,7.5
The Awakening,Horror,4.8,Mike Newell,Charlton Heston,,8415112.0,Nick Murphy,Imelda Staunton,,Horror|Thriller,Isaac Hempstead Wright,The Awakening,3000000.0,6.5
