Movie_Title,Director,Actors,Total_Gross,main_genre,budget,genres,id,imdb_id,original_language,original_title,revenue
The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",$534.86M,Action,185000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",155,tt0468569,en,The Dark Knight,1004558444.0
The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",$534.86M,Action,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",72003,tt2258647,en,The Dark Knight,0.0
The Lord of the Rings: The Return of the King,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",$377.85M,Action,94000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",122,tt0167260,en,The Lord of the Rings: The Return of the King,1118888979.0
Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",$292.58M,Action,160000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",27205,tt1375666,en,Inception,825532764.0
The Lord of the Rings: The Two Towers,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",$342.55M,Action,79000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",121,tt0167261,en,The Lord of the Rings: The Two Towers,926287400.0
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",$315.54M,Action,93000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",120,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,871368364.0
The Matrix,"Directors:Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",$171.48M,Action,63000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",603,tt0133093,en,The Matrix,463517383.0
The Empire Strikes Back,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",$290.48M,Action,18000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1891,tt0080684,en,The Empire Strikes Back,538400000.0
Terminator 2: Judgment Day,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",$204.84M,Action,100000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",280,tt0103064,en,Terminator 2: Judgment Day,520000000.0
Star Wars,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",$322.74M,Action,11000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",11,tt0076759,en,Star Wars,775398007.0
