director_name,actor_2_name,gross,genres_x,actor_1_name,movie_title,budget_x,imdb_score,budget_y,genres_y,id,imdb_id,original_language,original_title,revenue
James Cameron,Joel David Moore,760505847.0,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,Avatar,237000000.0,7.9,237000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",19995,tt0499549,en,Avatar,2787965087.0
Gore Verbinski,Orlando Bloom,309404152.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End,300000000.0,7.1,300000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",285,tt0449088,en,Pirates of the Caribbean: At World's End,961000000.0
Sam Mendes,Rory Kinnear,200074175.0,Action|Adventure|Thriller,Christoph Waltz,Spectre,245000000.0,6.8,245000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]",206647,tt2379713,en,Spectre,880674609.0
Christopher Nolan,Christian Bale,448130642.0,Action|Thriller,Tom Hardy,The Dark Knight Rises,250000000.0,8.5,250000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",49026,tt1345836,en,The Dark Knight Rises,1084939099.0
Andrew Stanton,Samantha Morton,73058679.0,Action|Adventure|Sci-Fi,Daryl Sabara,John Carter,263700000.0,6.6,260000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",49529,tt0401729,en,John Carter,284139100.0
Sam Raimi,James Franco,336530303.0,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3,258000000.0,6.2,258000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",559,tt0413300,en,Spider-Man 3,890871626.0
Sam Raimi,James Franco,336530303.0,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3,258000000.0,6.2,258000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",559,tt0413300,en,Spider-Man 3,890871626.0
Nathan Greno,Donna Murphy,200807262.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Tangled,260000000.0,7.8,260000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",38757,tt0398286,en,Tangled,591794936.0
Nathan Greno,Donna Murphy,200807262.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Tangled,260000000.0,7.8,0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",51986,tt0238137,en,Tangled,0.0
Joss Whedon,Robert Downey Jr.,458991599.0,Action|Adventure|Sci-Fi,Chris Hemsworth,Avengers: Age of Ultron,250000000.0,7.5,280000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",99861,tt2395427,en,Avengers: Age of Ultron,1405403694.0
David Yates,Daniel Radcliffe,301956980.0,Adventure|Family|Fantasy|Mystery,Alan Rickman,Harry Potter and the Half-Blood Prince,250000000.0,7.5,250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",767,tt0417741,en,Harry Potter and the Half-Blood Prince,933959197.0
Zack Snyder,Lauren Cohan,330249062.0,Action|Adventure|Sci-Fi,Henry Cavill,Batman v Superman: Dawn of Justice,250000000.0,6.9,250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",209112,tt2975590,en,Batman v Superman: Dawn of Justice,873260194.0
Bryan Singer,Marlon Brando,200069408.0,Action|Adventure|Sci-Fi,Kevin Spacey,Superman Returns,209000000.0,6.1,270000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1452,tt0348150,en,Superman Returns,391081192.0
Marc Forster,Mathieu Amalric,168368427.0,Action|Adventure,Giancarlo Giannini,Quantum of Solace,200000000.0,6.7,200000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",10764,tt0830515,en,Quantum of Solace,586090727.0
Gore Verbinski,Orlando Bloom,423032628.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,225000000.0,7.3,200000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",58,tt0383574,en,Pirates of the Caribbean: Dead Man's Chest,1065659812.0
