name,genre,score,director,actor_2_name,gross,actor_1_name,budget
Star Wars: Episode V - The Empire Strikes Back,Action,8.7,Irvin Kershner,Kenny Baker,290158751.0,Harrison Ford,18000000.0
Airplane!,Comedy,7.7,Jim Abrahams,Lloyd Bridges,83400000.0,Peter Graves,3500000.0
Caddyshack,Comedy,7.3,Harold Ramis,Rodney Dangerfield,39800000.0,Bill Murray,6000000.0
The Blues Brothers,Action,7.9,John Landis,Aretha Franklin,54200000.0,John Belushi,27000000.0
Raging Bull,Biography,8.2,Martin Scorsese,Cathy Moriarty,45250.0,Robert De Niro,18000000.0
Superman II,Action,6.8,Richard Lester,Ned Beatty,108200000.0,Margot Kidder,54000000.0
Ordinary People,Drama,7.7,Robert Redford,Elizabeth McGovern,54800000.0,Adam Baldwin,6000000.0
Dressed to Kill,Crime,7.1,Brian De Palma,David Margulies,31899000.0,Angie Dickinson,6500000.0
Fame,Drama,6.6,Alan Parker,Kay Panabaker,22452209.0,Kelsey Grammer,18000000.0
Fame,Comedy,5.1,Kevin Tancharoen,Kay Panabaker,22452209.0,Kelsey Grammer,18000000.0
The Fog,Horror,6.8,John Carpenter,Hal Holbrook,21378000.0,Jamie Lee Curtis,1000000.0
The Fog,Horror,3.7,Rupert Wainwright,Hal Holbrook,21378000.0,Jamie Lee Curtis,1000000.0
Heaven's Gate,Adventure,6.8,Michael Cimino,Sam Waterston,1500000.0,Jeff Bridges,44000000.0
Raise the Titanic,Action,5.0,Jerry Jameson,Jason Robards,7000000.0,M. Emmet Walsh,36000000.0
Prom Night,Horror,5.4,Paul Lynch,Scott Porter,43818159.0,Ming-Na Wen,20000000.0
Prom Night,Horror,3.9,Nelson McCormick,Scott Porter,43818159.0,Ming-Na Wen,20000000.0
Private Benjamin,Comedy,6.2,Howard Zieff,Albert Brooks,69800000.0,Eileen Brennan,10000000.0
The Island,Action,5.3,Michael Ritchie,Steve Buscemi,35799026.0,Scarlett Johansson,126000000.0
The Island,Action,6.8,Michael Bay,Steve Buscemi,35799026.0,Scarlett Johansson,126000000.0
Can't Stop the Music,Biography,4.2,Nancy Walker,Randy Jones,2000000.0,Steve Guttenberg,20000000.0
Escape from New York,Action,7.2,John Carpenter,Adrienne Barbeau,25244700.0,Donald Pleasence,6000000.0
Porky's,Comedy,6.2,Bob Clark,Susan Clark,105500000.0,Art Hindle,4000000.0
Clash of the Titans,Action,6.9,Desmond Davis,Jason Flemyng,163192114.0,Liam Neeson,125000000.0
Clash of the Titans,Action,5.8,Louis Leterrier,Jason Flemyng,163192114.0,Liam Neeson,125000000.0
Das Boot,Adventure,8.3,Wolfgang Petersen,Martin Semmelrogge,11433134.0,Jürgen Prochnow,14000000.0
Stripes,Comedy,6.9,Ivan Reitman,Harold Ramis,85300000.0,Bill Murray,10000000.0
Endless Love,Drama,4.9,Franco Zeffirelli,Bruce Greenwood,23393765.0,Alex Pettyfer,20000000.0
Endless Love,Drama,6.3,Shana Feste,Bruce Greenwood,23393765.0,Alex Pettyfer,20000000.0
Time Bandits,Adventure,7.0,Terry Gilliam,Michael Palin,42365600.0,Shelley Duvall,5000000.0
Friday the 13th Part 2,Horror,6.1,Steve Miner,Adrienne King,19100000.0,Betsy Palmer,1250000.0
For Your Eyes Only,Action,6.7,John Glen,Topol,62300000.0,Julian Glover,28000000.0
Halloween II,Horror,6.5,Rick Rosenthal,Tyler Mane,33386128.0,Scout Taylor-Compton,15000000.0
Halloween II,Horror,4.8,Rob Zombie,Tyler Mane,33386128.0,Scout Taylor-Compton,15000000.0
Chariots of Fire,Biography,7.2,Hugh Hudson,Ben Cross,58800000.0,Alice Krige,5500000.0
The Howling,Horror,6.6,Joe Dante,Robert Picardo,17986000.0,Patrick Macnee,1000000.0
Dragonslayer,Action,6.7,Matthew Robbins,Ralph Richardson,6000000.0,Ian McDiarmid,18000000.0
The Beyond,Horror,6.8,Lucio Fulci,David Warbeck,126387.0,Catriona MacColl,400000.0
My Bloody Valentine,Horror,6.3,George Mihalka,Jaime King,51527787.0,Jensen Ackles,15000000.0
My Bloody Valentine,Horror,5.4,Patrick Lussier,Jaime King,51527787.0,Jensen Ackles,15000000.0
Neighbors,Comedy,5.6,John G. Avildsen,Carla Gallo,150056505.0,Craig Roberts,18000000.0
Neighbors,Comedy,6.3,Nicholas Stoller,Carla Gallo,150056505.0,Craig Roberts,18000000.0
Under the Rainbow,Comedy,5.4,Steve Rash,Adam Arkin,8500000.0,Mako,20000000.0
Quartet,Drama,6.3,James Ivory,Sheridan Smith,18381787.0,Luke Newberry,11000000.0
Quartet,Comedy,6.8,Dustin Hoffman,Sheridan Smith,18381787.0,Luke Newberry,11000000.0
The Legend of the Lone Ranger,Action,5.1,William A. Fraker,Richard Farnsworth,8000000.0,Jason Robards,18000000.0
Sphinx,Adventure,5.2,Franklin J. Schaffner,William Hootkins,800000.0,Frank Langella,14000000.0
Scream,Horror,2.9,Byron Quisenberry,W. Earl Brown,103001286.0,David Arquette,15000000.0
Scream,Horror,7.3,Wes Craven,W. Earl Brown,103001286.0,David Arquette,15000000.0
Blade Runner,Action,8.1,Ridley Scott,Sean Young,27000000.0,Harrison Ford,28000000.0
The Thing,Horror,8.1,John Carpenter,Richard Masur,13782838.0,Wilford Brimley,15000000.0
The Thing,Horror,6.2,Matthijs van Heijningen Jr.,Richard Masur,13782838.0,Wilford Brimley,15000000.0
Conan the Barbarian,Action,6.9,John Milius,Mako,37567440.0,William Smith,20000000.0
Conan the Barbarian,Action,5.2,Marcus Nispel,Mako,37567440.0,William Smith,20000000.0
E.T. the Extra-Terrestrial,Family,7.8,Steven Spielberg,Dee Wallace,434949459.0,Henry Thomas,10500000.0
Annie,Comedy,6.6,John Huston,Dorian Missick,85911262.0,Quvenzhané Wallis,65000000.0
Annie,Comedy,5.3,Will Gluck,Dorian Missick,85911262.0,Quvenzhané Wallis,65000000.0
Poltergeist,Horror,7.3,Tobe Hooper,Zelda Rubinstein,76600000.0,Heather O'Rourke,10700000.0
Poltergeist,Horror,4.9,Gil Kenan,Zelda Rubinstein,76600000.0,Heather O'Rourke,10700000.0
Star Trek II: The Wrath of Khan,Action,7.7,Nicholas Meyer,Kirstie Alley,78900000.0,Leonard Nimoy,11000000.0
Tootsie,Comedy,7.4,Sydney Pollack,Sydney Pollack,177200000.0,Bill Murray,22000000.0
Friday the 13th Part III,Horror,5.7,Steve Miner,Dana Kimmell,36200000.0,Richard Brooker,4000000.0
Firefox,Action,6.0,Clint Eastwood,Warren Clarke,46700000.0,Clint Eastwood,21000000.0
Halloween III: Season of the Witch,Horror,5.0,Tommy Lee Wallace,Dan O'Herlihy,14400000.0,Tom Atkins,2500000.0
The Verdict,Drama,7.7,Sidney Lumet,James Mason,54000000.0,Charlotte Rampling,16000000.0
Diner,Comedy,7.1,Barry Levinson,Daniel Stern,14100000.0,Steve Guttenberg,5000000.0
